thickness,Mass,logT,logg,logR,logtau,logL
thick,0.2,3.9997830287453,6.89915875,-1.58003048487931,7.54328349664108,31.3767469920254
thick,0.2,3.99707550793063,6.90151642,-1.58120934904922,7.57999897612207,31.363559146917
thick,0.2,3.99430093782625,6.90397958,-1.5824410630369,7.61731996492136,31.349997839199
thick,0.2,3.99155124935693,6.9064777,-1.58369016294565,7.65410874427693,31.3365009598472
thick,0.2,3.988811915467,6.90900731,-1.58495486859094,7.69036276393959,31.3230139466043
thick,0.2,3.98603320453411,6.91161086,-1.58625673496,7.72655019591888,31.3092955892514
thick,0.2,3.98320371556814,6.91424738,-1.58757483250865,7.76241648283009,31.2953409880845
thick,0.2,3.98020477385019,6.91702624,-1.58896429272562,7.7991210029174,31.2805665340888
thick,0.2,3.97709709296435,6.91989913,-1.59040075085588,7.83588111205463,31.2652627468689
thick,0.2,3.97388796108538,6.92285879,-1.59188051318195,7.8723387546768,31.2494666807074
thick,0.2,3.97061732398821,6.92586396,-1.59338320203452,7.90788925167089,31.2333789334755
thick,0.2,3.96734407670901,6.92888262,-1.59489258203965,7.94229707287147,31.2172672693486
thick,0.2,3.96402841176493,6.93193203,-1.59641733167407,7.97569598140354,31.2009552302895
thick,0.2,3.96068231732257,6.93498524,-1.59794374315015,8.00790559702191,31.184517678272
thick,0.2,3.95732426181877,6.93803825,-1.59947032581923,8.03908956607573,31.1680322977771
thick,0.2,3.95388369674457,6.94111377,-1.60100802271016,8.06949382626044,31.15119450332
thick,0.2,3.95037849159299,6.94419583,-1.60254918356869,8.09912343404812,31.1340916432789
thick,0.2,3.94677833997766,6.94728807,-1.60409533120598,8.1281009119364,31.1165987791014
thick,0.2,3.94308375514578,6.95039062,-1.60564649946668,8.15656520236539,31.0987181204915
thick,0.2,3.93928290716242,6.95350967,-1.6072060073502,8.18459462629203,31.0803955713338
thick,0.2,3.93538879106008,6.95662671,-1.6087645421477,8.21212791811625,31.0617019759374
thick,0.2,3.93137685755023,6.95975873,-1.61033047166184,8.23927820193078,31.0425223543774
thick,0.2,3.92727973182776,6.96287969,-1.61189108470376,8.26589467012417,31.0230128111668
thick,0.2,3.92309434781689,6.9659886,-1.61344553438422,8.29197701399008,31.003162283114
thick,0.2,3.91883934270152,6.96907074,-1.61498653119414,8.31745886933848,30.9830602532368
thick,0.2,3.91451809865061,6.97212159,-1.61651210459961,8.34232949491852,30.962724393176
thick,0.2,3.91014878949926,6.97513134,-1.61801689130577,8.36655668065759,30.9422373992078
thick,0.2,3.90574642193044,6.97809384,-1.61949805662899,8.39014825109043,30.9216654624039
thick,0.2,3.90131392853687,6.98100896,-1.62095560114291,8.41312936649004,30.9010203732295
thick,0.2,3.89685808343884,6.98387459,-1.62238848432587,8.43549765171179,30.8803313148681
thick,0.2,3.89238647854118,6.9866871,-1.62379487009659,8.45724784840686,30.8596324390132
thick,0.2,3.88790971495604,6.98944417,-1.6251731682092,8.47838364943114,30.8389682850672
thick,0.2,3.88343047669145,6.99214874,-1.62652547357361,8.49892282189675,30.8183467928164
thick,0.2,3.87895391027328,6.99480021,-1.62785126409848,8.51887688468484,30.7977890735908
thick,0.2,3.87448595188494,6.99739967,-1.62915108075836,8.53826675406402,30.7773177638056
thick,0.2,3.87002916172921,6.99994721,-1.63042467760063,8.55711170562684,30.756943048235
thick,0.2,3.86558528886413,7.00245043,-1.6316763564319,8.57545111389639,30.7366643275757
thick,0.2,3.86116490028991,7.00490394,-1.63290323566905,8.59326867273497,30.7165292730433
thick,0.2,3.85676566191105,7.00731256,-1.63410751383586,8.61060768266923,30.6965236953223
thick,0.2,3.85239143611143,7.0096772,-1.63528980151286,8.62748414475742,30.6766621564224
thick,0.2,3.84804599183814,7.01199665,-1.63644963929774,8.64391199603172,30.6569609481874
thick,0.2,3.84372706279247,7.01427246,-1.63758738027718,8.65992513294982,30.6374093675919
thick,0.2,3.83943567174109,7.01650218,-1.63870229889965,8.67553987236631,30.6180140843666
thick,0.2,3.83517200605302,7.01869076,-1.63979666266847,8.69077985789,30.598770815383
thick,0.2,3.83095066933372,7.02083006,-1.64086621299675,8.70561195370535,30.5797462228257
thick,0.2,3.82677105358698,7.02291677,-1.64190966457968,8.72005398456527,30.5609409991522
