spec_type,mWD,log(teff),log(L),logg,age(Gyrs),R(Rsun),Mbol,G,BP,RP
DA,1,3.66,-4.6314,8.6645,11.0645,0.0077,16.3186,16.3252,16.8761,15.6344
DA,1,3.68,-4.5511,8.6641,10.4536,0.0077,16.1177,16.1412,16.6464,15.4831
DA,1,3.7,-4.4706,8.6636,9.6915,0.0077,15.9165,15.9356,16.3935,15.3135
DA,1,3.72,-4.3901,8.6631,8.8429,0.0077,15.7151,15.7184,16.1295,15.1342
DA,1,3.74,-4.3093,8.6624,7.8581,0.0077,15.5133,15.5081,15.8755,14.9614
DA,1,3.76,-4.2285,8.6615,6.9187,0.0077,15.3112,15.3002,15.6241,14.7938
DA,1,3.78,-4.1477,8.6607,6.1839,0.0077,15.1092,15.1036,15.3892,14.6344
DA,1,3.8,-4.067,8.66,5.6146,0.0077,14.9074,14.9147,15.1643,14.4826
DA,1,3.82,-3.9864,8.6594,5.1078,0.0077,14.7059,14.7331,14.9484,14.3381
DA,1,3.84,-3.9058,8.6588,4.6342,0.0078,14.5044,14.5584,14.7422,14.1997
DA,1,3.86,-3.8252,8.6583,4.1795,0.0078,14.303,14.3898,14.5451,14.0654
DA,1,3.88,-3.7447,8.6577,3.7482,0.0078,14.1017,14.2258,14.356,13.9338
DA,1,3.9,-3.6641,8.6572,3.3391,0.0078,13.9003,14.0655,14.1732,13.8041
DA,1,3.92,-3.5836,8.6566,2.9646,0.0078,13.6989,13.9077,13.9954,13.6758
DA,1,3.94,-3.503,8.656,2.6328,0.0078,13.4974,13.7523,13.8217,13.549
DA,1,3.96,-3.4224,8.6554,2.3464,0.0078,13.2959,13.5986,13.6512,13.4237
DA,1,3.98,-3.3417,8.6548,2.0945,0.0078,13.0943,13.4471,13.484,13.3006
DA,1,4,-3.2611,8.6541,1.862,0.0078,12.8927,13.2989,13.3207,13.1808
DA,1,4.02,-3.1804,8.6535,1.6462,0.0078,12.691,13.1568,13.164,13.0667
DA,1,4.04,-3.0997,8.6528,1.4465,0.0078,12.4893,13.0243,13.0175,12.9614
DA,1,4.06,-3.019,8.652,1.2511,0.0078,12.2874,12.9026,12.8821,12.8652
DA,1,4.08,-2.9382,8.6512,1.0776,0.0078,12.0854,12.7902,12.7565,12.7768
DA,1,4.1,-2.8574,8.6504,0.9347,0.0078,11.8834,12.6866,12.6403,12.6957
