spec_type,Mass,Teff,logg,Mbol,BC,U,B,V,R,I,J,H,Ks,Y,J,H,K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,u,g,r,i,z,g,r,i,z,y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age
DA,0.2,10500,6.882,10.009,-0.374,10.105,10.528,10.383,0.027426666658366,10.373,10.452,10.462,10.496,10.455,10.432,10.436,10.465,10.479,10.491,10.504,10.508,10.481,10.492,10.496,10.501,10.961,10.357,10.505,10.701,10.926,10.345,10.506,10.708,10.895,11.019,10.392,10.388,10.365,10.411,10.424,10.388,12.654,11.288,18500000
DA,0.2,11000,6.87,9.775,-0.473,9.957,10.372,10.248,0.027833399679942,10.28,10.376,10.395,10.428,10.37,10.356,10.369,10.398,10.41,10.422,10.437,10.443,10.413,10.423,10.427,10.433,10.814,10.206,10.388,10.602,10.838,10.197,10.389,10.609,10.807,10.933,10.265,10.247,10.267,10.284,10.284,10.29,11.82,11.047,11010000
DA,0.2,11500,6.859,9.555,-0.588,9.828,10.244,10.143,0.028180970518324,10.204,10.312,10.336,10.369,10.3,10.292,10.31,10.339,10.351,10.363,10.38,10.388,10.354,10.364,10.369,10.375,10.685,10.085,10.295,10.523,10.765,10.079,10.296,10.53,10.733,10.861,10.163,10.134,10.187,10.182,10.171,10.21,11.231,10.845,6913000
DA,0.2,12000,6.849,9.345,-0.691,9.683,10.115,10.036,0.028509469376533,10.122,10.244,10.273,10.308,10.225,10.224,10.247,10.278,10.293,10.306,10.325,10.334,10.296,10.307,10.313,10.32,10.54,9.962,10.197,10.438,10.686,9.96,10.198,10.445,10.654,10.785,10.057,10.017,10.101,10.076,10.055,10.124,10.86,10.64,4557000
DA,0.2,12500,6.839,9.144,-0.791,9.533,9.991,9.935,0.028822496843575,10.04,10.174,10.21,10.247,10.15,10.155,10.184,10.218,10.236,10.25,10.271,10.281,10.239,10.251,10.258,10.265,10.39,9.846,10.101,10.352,10.607,9.848,10.103,10.36,10.574,10.707,9.955,9.905,10.014,9.973,9.944,10.038,10.571,10.444,3138000
DA,0.2,13000,6.83,8.951,-0.891,9.388,9.877,9.842,0.029124932109983,9.961,10.108,10.149,10.189,10.079,10.089,10.123,10.16,10.181,10.196,10.219,10.23,10.184,10.197,10.204,10.213,10.245,9.74,10.012,10.271,10.531,9.745,10.014,10.279,10.497,10.633,9.859,9.8,9.932,9.877,9.84,9.956,10.32,10.259,2261000
DA,0.2,13500,6.822,8.767,-0.988,9.25,9.77,9.755,0.029395719142706,9.886,10.045,10.09,10.132,10.011,10.025,10.063,10.103,10.127,10.144,10.169,10.18,10.131,10.145,10.152,10.161,10.106,9.64,9.928,10.194,10.458,9.649,9.93,10.202,10.424,10.562,9.768,9.701,9.854,9.786,9.743,9.878,10.094,10.081,1695000
DA,0.2,14000,6.814,8.589,-1.083,9.116,9.669,9.672,0.029668497638783,9.814,9.984,10.033,10.078,9.945,9.964,10.006,10.049,10.075,10.093,10.12,10.132,10.079,10.094,10.102,10.112,9.973,9.546,9.847,10.12,10.388,9.557,9.85,10.128,10.353,10.494,9.682,9.607,9.779,9.7,9.65,9.803,9.885,9.911,1304000
DA,0.2,14500,6.806,8.417,-1.175,8.989,9.574,9.592,0.029937506278675,9.744,9.925,9.977,10.024,9.882,9.905,9.95,9.996,10.024,10.044,10.072,10.085,10.028,10.044,10.053,10.064,9.845,9.456,9.77,10.049,10.32,9.471,9.773,10.057,10.285,10.428,9.6,9.518,9.707,9.617,9.562,9.731,9.689,9.749,1026000
DA,0.2,15000,6.799,8.251,-1.265,8.867,9.483,9.516,0.030197369158621,9.676,9.867,9.923,9.972,9.821,9.847,9.896,9.944,9.975,9.995,10.025,10.04,9.979,9.995,10.005,10.016,9.722,9.371,9.696,9.98,10.254,9.388,9.698,9.988,10.218,10.365,9.521,9.432,9.637,9.538,9.477,9.662,9.503,9.594,819800
